person,year_month,screen_time_seconds
ainsley earhardt,2019-01,19843
ainsley earhardt,2019-02,17960
ainsley earhardt,2019-03,13001
ainsley earhardt,2019-04,17709
ainsley earhardt,2019-05,22621
ainsley earhardt,2019-06,14768
ainsley earhardt,2019-07,18827
ainsley earhardt,2019-08,16938
ainsley earhardt,2019-09,11542
ainsley earhardt,2019-10,18184
ainsley earhardt,2019-11,12845
ainsley earhardt,2019-12,11680
ainsley earhardt,2020-01,16270
ainsley earhardt,2020-02,5586
ainsley earhardt,2020-03,25137
ainsley earhardt,2020-04,43857
ainsley earhardt,2020-05,42930
ainsley earhardt,2020-06,39475
ainsley earhardt,2020-07,21490
al sharpton,2010-01,4638
al sharpton,2010-02,2069
al sharpton,2010-03,3421
al sharpton,2010-04,8349
al sharpton,2010-05,1845
al sharpton,2010-06,216
al sharpton,2010-07,8077
al sharpton,2010-08,13096
al sharpton,2010-09,942
al sharpton,2010-10,3570
al sharpton,2010-11,2402
al sharpton,2010-12,2690
al sharpton,2011-01,5451
al sharpton,2011-02,877
al sharpton,2011-03,1436
al sharpton,2011-04,4630
al sharpton,2011-05,242
al sharpton,2011-06,6696
al sharpton,2011-07,16402
al sharpton,2011-08,21719
al sharpton,2011-09,19418
al sharpton,2011-10,17430
al sharpton,2011-11,16540
al sharpton,2011-12,18338
al sharpton,2012-01,21883
al sharpton,2012-02,16939
al sharpton,2012-03,28610
al sharpton,2012-04,16969
al sharpton,2012-05,13294
al sharpton,2012-06,13976
al sharpton,2012-07,13324
al sharpton,2012-08,15833
al sharpton,2012-09,14530
al sharpton,2012-10,16555
al sharpton,2012-11,11661
al sharpton,2012-12,10738
al sharpton,2013-01,15300
al sharpton,2013-02,14425
al sharpton,2013-03,12850
al sharpton,2013-04,11956
al sharpton,2013-05,11898
al sharpton,2013-06,12673
al sharpton,2013-07,27438
al sharpton,2013-08,18495
al sharpton,2013-09,15283
al sharpton,2013-10,14033
al sharpton,2013-11,12960
al sharpton,2013-12,13159
al sharpton,2014-01,13518
al sharpton,2014-02,11746
al sharpton,2014-03,12083
al sharpton,2014-04,15456
al sharpton,2014-05,11925
al sharpton,2014-06,10351
al sharpton,2014-07,12424
al sharpton,2014-08,24469
al sharpton,2014-09,10129
al sharpton,2014-10,9648
al sharpton,2014-11,16232
al sharpton,2014-12,20876
al sharpton,2015-01,10215
al sharpton,2015-02,10217
al sharpton,2015-03,11866
al sharpton,2015-04,9960
al sharpton,2015-05,7383
al sharpton,2015-06,10280
al sharpton,2015-07,9316
al sharpton,2015-08,6124
al sharpton,2015-09,2062
al sharpton,2015-10,2478
al sharpton,2015-11,2199
al sharpton,2015-12,3980
al sharpton,2016-01,3103
al sharpton,2016-02,6237
al sharpton,2016-03,2828
al sharpton,2016-04,6882
al sharpton,2016-05,2972
al sharpton,2016-06,3508
al sharpton,2016-07,6923
al sharpton,2016-08,2767
al sharpton,2016-09,2857
al sharpton,2016-10,3102
al sharpton,2016-11,3292
al sharpton,2016-12,2147
al sharpton,2017-01,4744
al sharpton,2017-02,4000
al sharpton,2017-03,4037
al sharpton,2017-04,5483
al sharpton,2017-05,4211
al sharpton,2017-06,5170
al sharpton,2017-07,6161
al sharpton,2017-08,8275
al sharpton,2017-09,4261
al sharpton,2017-10,6193
al sharpton,2017-11,4874
al sharpton,2017-12,7049
al sharpton,2018-01,9042
al sharpton,2018-02,5863
al sharpton,2018-03,7826
al sharpton,2018-04,8569
al sharpton,2018-05,8214
al sharpton,2018-06,6980
al sharpton,2018-07,9808
al sharpton,2018-08,13837
al sharpton,2018-09,8309
al sharpton,2018-10,11127
al sharpton,2018-11,10933
al sharpton,2018-12,11133
al sharpton,2019-01,11048
al sharpton,2019-02,12649
al sharpton,2019-03,12551
al sharpton,2019-04,16320
al sharpton,2019-05,12610
al sharpton,2019-06,19964
al sharpton,2019-07,17771
al sharpton,2019-08,15184
al sharpton,2019-09,11265
al sharpton,2019-10,9135
al sharpton,2019-11,12545
al sharpton,2019-12,12246
al sharpton,2020-01,8958
al sharpton,2020-02,13266
al sharpton,2020-03,12185
al sharpton,2020-04,11006
al sharpton,2020-05,21172
al sharpton,2020-06,34393
al sharpton,2020-07,21076
alex witt,2010-01,14375
alex witt,2010-02,7169
alex witt,2010-03,7857
alex witt,2010-04,13856
alex witt,2010-05,9111
alex witt,2010-06,5936
alex witt,2010-07,8415
alex witt,2010-08,10898
alex witt,2010-09,10641
alex witt,2010-10,8905
alex witt,2010-11,8985
alex witt,2010-12,5965
alex witt,2011-01,9360
alex witt,2011-02,7721
alex witt,2011-03,11208
alex witt,2011-04,9401
alex witt,2011-05,13113
alex witt,2011-06,8241
alex witt,2011-07,8815
alex witt,2011-08,8593
alex witt,2011-09,8764
alex witt,2011-10,7720
alex witt,2011-11,7665
alex witt,2011-12,7618
alex witt,2012-01,8618
alex witt,2012-02,6517
alex witt,2012-03,8093
alex witt,2012-04,6202
alex witt,2012-05,5138
alex witt,2012-06,6011
alex witt,2012-07,6420
alex witt,2012-08,3106
alex witt,2012-09,7243
alex witt,2012-10,6559
alex witt,2012-11,10053
alex witt,2012-12,7067
alex witt,2013-01,7256
alex witt,2013-02,7643
alex witt,2013-03,7424
alex witt,2013-04,7015
alex witt,2013-05,5269
alex witt,2013-06,5284
alex witt,2013-07,6646
alex witt,2013-08,7019
alex witt,2013-09,9242
alex witt,2013-10,5241
alex witt,2013-11,7674
alex witt,2013-12,8675
alex witt,2014-01,8296
alex witt,2014-02,6645
alex witt,2014-03,8590
alex witt,2014-04,7307
alex witt,2014-05,7688
alex witt,2014-06,6308
alex witt,2014-07,8042
alex witt,2014-08,10033
alex witt,2014-09,6855
alex witt,2014-10,6782
alex witt,2014-11,9673
alex witt,2014-12,6906
alex witt,2015-01,5327
alex witt,2015-02,5215
alex witt,2015-03,5375
alex witt,2015-04,6825
alex witt,2015-05,8332
alex witt,2015-06,3483
alex witt,2015-07,7570
alex witt,2015-08,5288
alex witt,2015-09,7530
alex witt,2015-10,4450
alex witt,2015-11,8751
alex witt,2015-12,6028
alex witt,2016-01,5105
alex witt,2016-02,3775
alex witt,2016-03,6472
alex witt,2016-04,11455
alex witt,2016-05,8103
alex witt,2016-06,8507
alex witt,2016-07,9467
alex witt,2016-08,4243
alex witt,2016-09,7292
alex witt,2016-10,8909
alex witt,2016-11,5490
alex witt,2016-12,2478
alex witt,2017-01,7823
alex witt,2017-02,6226
alex witt,2017-03,4714
alex witt,2017-04,8544
alex witt,2017-05,2619
alex witt,2017-06,4420
alex witt,2017-07,9732
alex witt,2017-08,8122
alex witt,2017-09,11228
alex witt,2017-10,10747
alex witt,2017-11,8197
alex witt,2017-12,9320
alex witt,2018-01,12583
alex witt,2018-02,10484
alex witt,2018-03,14191
alex witt,2018-04,9839
alex witt,2018-05,12183
alex witt,2018-06,10657
alex witt,2018-07,15456
alex witt,2018-08,7432
alex witt,2018-09,10461
alex witt,2018-10,10518
alex witt,2018-11,10465
alex witt,2018-12,9945
alex witt,2019-01,10352
alex witt,2019-02,10775
alex witt,2019-03,12542
alex witt,2019-04,8378
alex witt,2019-05,7716
alex witt,2019-06,11208
alex witt,2019-07,7004
alex witt,2019-08,5221
alex witt,2019-09,8854
alex witt,2019-10,7055
alex witt,2019-11,10216
alex witt,2019-12,11446
alex witt,2020-01,5871
alex witt,2020-02,9060
alex witt,2020-03,9641
alex witt,2020-04,9847
alex witt,2020-05,11319
alex witt,2020-06,10403
alex witt,2020-07,10393
ali velshi,2010-01,16927
ali velshi,2010-02,20655
ali velshi,2010-03,22042
ali velshi,2010-04,29552
ali velshi,2010-05,7551
ali velshi,2010-06,8301
ali velshi,2010-07,15396
ali velshi,2010-08,35675
ali velshi,2010-09,34316
ali velshi,2010-10,25461
ali velshi,2010-11,33131
ali velshi,2010-12,32634
ali velshi,2011-01,34972
ali velshi,2011-02,17288
ali velshi,2011-03,25461
ali velshi,2011-04,28724
ali velshi,2011-05,28282
ali velshi,2011-06,19075
ali velshi,2011-07,52926
ali velshi,2011-08,48847
ali velshi,2011-09,15621
ali velshi,2011-10,31047
ali velshi,2011-11,15734
ali velshi,2011-12,23625
ali velshi,2012-01,14191
ali velshi,2012-02,9930
ali velshi,2012-03,9927
ali velshi,2012-04,10069
ali velshi,2012-05,17396
ali velshi,2012-06,7689
ali velshi,2012-07,12717
ali velshi,2012-08,3731
ali velshi,2012-09,10544
ali velshi,2012-10,14571
ali velshi,2012-11,13468
ali velshi,2012-12,21462
ali velshi,2013-01,18368
ali velshi,2013-02,6255
ali velshi,2013-03,11263
ali velshi,2013-04,2453
ali velshi,2013-05,21
ali velshi,2013-06,0
ali velshi,2013-07,0
ali velshi,2013-08,3
ali velshi,2013-09,6
ali velshi,2013-10,9
ali velshi,2013-11,0
ali velshi,2013-12,18
ali velshi,2014-01,6
ali velshi,2014-02,3
ali velshi,2014-03,0
ali velshi,2014-04,15
ali velshi,2014-05,21
ali velshi,2014-06,51
ali velshi,2014-07,12
ali velshi,2014-08,0
ali velshi,2014-09,3
ali velshi,2014-10,27
ali velshi,2014-11,6
ali velshi,2014-12,24
ali velshi,2015-01,18
ali velshi,2015-02,3
ali velshi,2015-03,3
ali velshi,2015-04,3
ali velshi,2015-05,18
ali velshi,2015-06,36
ali velshi,2015-07,12
ali velshi,2015-08,9
ali velshi,2015-09,84
ali velshi,2015-10,15
ali velshi,2015-11,12
ali velshi,2015-12,238
ali velshi,2016-01,45
ali velshi,2016-02,6
ali velshi,2016-03,6
ali velshi,2016-04,159
ali velshi,2016-05,328
ali velshi,2016-06,3836
ali velshi,2016-07,15
ali velshi,2016-08,4062
ali velshi,2016-09,223
ali velshi,2016-10,870
ali velshi,2016-11,9162
ali velshi,2016-12,8148
ali velshi,2017-01,7555
ali velshi,2017-02,17610
ali velshi,2017-03,15820
ali velshi,2017-04,17682
ali velshi,2017-05,16018
ali velshi,2017-06,26876
ali velshi,2017-07,35879
ali velshi,2017-08,34590
ali velshi,2017-09,30231
ali velshi,2017-10,17769
ali velshi,2017-11,33205
ali velshi,2017-12,34197
ali velshi,2018-01,27226
ali velshi,2018-02,35220
ali velshi,2018-03,25238
ali velshi,2018-04,39254
ali velshi,2018-05,16897
ali velshi,2018-06,24533
ali velshi,2018-07,47022
ali velshi,2018-08,44896
ali velshi,2018-09,20980
ali velshi,2018-10,37948
ali velshi,2018-11,30579
ali velshi,2018-12,29072
ali velshi,2019-01,32822
ali velshi,2019-02,31805
ali velshi,2019-03,39569
ali velshi,2019-04,35581
ali velshi,2019-05,29068
ali velshi,2019-06,33393
ali velshi,2019-07,26307
ali velshi,2019-08,42430
ali velshi,2019-09,26834
ali velshi,2019-10,22786
ali velshi,2019-11,30349
ali velshi,2019-12,26337
ali velshi,2020-01,36541
ali velshi,2020-02,31044
ali velshi,2020-03,42792
ali velshi,2020-04,28412
ali velshi,2020-05,33925
ali velshi,2020-06,32181
ali velshi,2020-07,43112
alisyn camerota,2010-01,12847
alisyn camerota,2010-02,7207
alisyn camerota,2010-03,5957
alisyn camerota,2010-04,5169
alisyn camerota,2010-05,4656
alisyn camerota,2010-06,4470
alisyn camerota,2010-07,12701
alisyn camerota,2010-08,11470
alisyn camerota,2010-09,5879
alisyn camerota,2010-10,6792
alisyn camerota,2010-11,9130
alisyn camerota,2010-12,8307
alisyn camerota,2011-01,7865
alisyn camerota,2011-02,4648
alisyn camerota,2011-03,6502
alisyn camerota,2011-04,8135
alisyn camerota,2011-05,10286
alisyn camerota,2011-06,11472
alisyn camerota,2011-07,9111
alisyn camerota,2011-08,6390
alisyn camerota,2011-09,7818
alisyn camerota,2011-10,9042
alisyn camerota,2011-11,9892
alisyn camerota,2011-12,13489
alisyn camerota,2012-01,9900
alisyn camerota,2012-02,5271
alisyn camerota,2012-03,9292
alisyn camerota,2012-04,10004
alisyn camerota,2012-05,7037
alisyn camerota,2012-06,12151
alisyn camerota,2012-07,10052
alisyn camerota,2012-08,11488
alisyn camerota,2012-09,11996
alisyn camerota,2012-10,8530
alisyn camerota,2012-11,9441
alisyn camerota,2012-12,12594
alisyn camerota,2013-01,12286
alisyn camerota,2013-02,10426
alisyn camerota,2013-03,20983
alisyn camerota,2013-04,10923
alisyn camerota,2013-05,9718
alisyn camerota,2013-06,13575
alisyn camerota,2013-07,11573
alisyn camerota,2013-08,9699
alisyn camerota,2013-09,12855
alisyn camerota,2013-10,8780
alisyn camerota,2013-11,6743
alisyn camerota,2013-12,7071
alisyn camerota,2014-01,6923
alisyn camerota,2014-02,5710
alisyn camerota,2014-03,3565
alisyn camerota,2014-04,306
alisyn camerota,2014-05,159
alisyn camerota,2014-06,225
alisyn camerota,2014-07,3246
alisyn camerota,2014-08,8981
alisyn camerota,2014-09,11845
alisyn camerota,2014-10,13544
alisyn camerota,2014-11,12991
alisyn camerota,2014-12,12151
alisyn camerota,2015-01,10753
alisyn camerota,2015-02,10185
alisyn camerota,2015-03,9930
alisyn camerota,2015-04,7405
alisyn camerota,2015-05,10805
alisyn camerota,2015-06,12248
alisyn camerota,2015-07,12519
alisyn camerota,2015-08,10931
alisyn camerota,2015-09,15411
alisyn camerota,2015-10,11992
alisyn camerota,2015-11,15122
alisyn camerota,2015-12,15298
alisyn camerota,2016-01,13437
alisyn camerota,2016-02,11872
alisyn camerota,2016-03,18197
alisyn camerota,2016-04,10008
alisyn camerota,2016-05,14996
alisyn camerota,2016-06,12970
alisyn camerota,2016-07,12942
alisyn camerota,2016-08,9433
alisyn camerota,2016-09,14936
alisyn camerota,2016-10,13913
alisyn camerota,2016-11,13363
alisyn camerota,2016-12,10897
alisyn camerota,2017-01,13461
alisyn camerota,2017-02,15571
alisyn camerota,2017-03,13082
alisyn camerota,2017-04,11692
alisyn camerota,2017-05,10853
alisyn camerota,2017-06,20303
alisyn camerota,2017-07,22889
alisyn camerota,2017-08,16741
alisyn camerota,2017-09,16127
alisyn camerota,2017-10,19646
alisyn camerota,2017-11,15487
alisyn camerota,2017-12,23245
alisyn camerota,2018-01,21884
alisyn camerota,2018-02,21015
alisyn camerota,2018-03,15617
alisyn camerota,2018-04,17315
alisyn camerota,2018-05,18686
alisyn camerota,2018-06,15776
alisyn camerota,2018-07,20901
alisyn camerota,2018-08,17581
alisyn camerota,2018-09,19895
alisyn camerota,2018-10,16710
alisyn camerota,2018-11,13838
alisyn camerota,2018-12,10361
alisyn camerota,2019-01,21593
alisyn camerota,2019-02,12066
alisyn camerota,2019-03,16039
alisyn camerota,2019-04,26672
alisyn camerota,2019-05,23146
alisyn camerota,2019-06,18800
alisyn camerota,2019-07,21420
alisyn camerota,2019-08,13993
alisyn camerota,2019-09,21494
alisyn camerota,2019-10,25904
alisyn camerota,2019-11,19287
alisyn camerota,2019-12,21506
alisyn camerota,2020-01,22405
alisyn camerota,2020-02,16937
alisyn camerota,2020-03,24796
alisyn camerota,2020-04,35123
alisyn camerota,2020-05,19378
alisyn camerota,2020-06,25522
alisyn camerota,2020-07,19825
anderson cooper,2010-01,91901
anderson cooper,2010-02,44743
anderson cooper,2010-03,59318
anderson cooper,2010-04,50052
anderson cooper,2010-05,35134
anderson cooper,2010-06,35098
anderson cooper,2010-07,55242
anderson cooper,2010-08,47131
anderson cooper,2010-09,74708
anderson cooper,2010-10,75709
anderson cooper,2010-11,62430
anderson cooper,2010-12,67083
anderson cooper,2011-01,89959
anderson cooper,2011-02,75412
anderson cooper,2011-03,65472
anderson cooper,2011-04,50309
anderson cooper,2011-05,60970
anderson cooper,2011-06,61959
anderson cooper,2011-07,36254
anderson cooper,2011-08,86653
anderson cooper,2011-09,68001
anderson cooper,2011-10,44558
anderson cooper,2011-11,50019
anderson cooper,2011-12,65065
anderson cooper,2012-01,46436
anderson cooper,2012-02,42019
anderson cooper,2012-03,50743
anderson cooper,2012-04,52157
anderson cooper,2012-05,80662
anderson cooper,2012-06,51730
anderson cooper,2012-07,58217
anderson cooper,2012-08,55366
anderson cooper,2012-09,48369
anderson cooper,2012-10,58889
anderson cooper,2012-11,63027
anderson cooper,2012-12,64191
anderson cooper,2013-01,65463
anderson cooper,2013-02,30224
anderson cooper,2013-03,32727
anderson cooper,2013-04,63169
anderson cooper,2013-05,59708
anderson cooper,2013-06,65916
anderson cooper,2013-07,78342
anderson cooper,2013-08,60508
anderson cooper,2013-09,52763
anderson cooper,2013-10,49215
anderson cooper,2013-11,38230
anderson cooper,2013-12,43765
anderson cooper,2014-01,58292
anderson cooper,2014-02,31723
anderson cooper,2014-03,57458
anderson cooper,2014-04,26449
anderson cooper,2014-05,53179
anderson cooper,2014-06,47302
anderson cooper,2014-07,33873
anderson cooper,2014-08,39629
anderson cooper,2014-09,45254
anderson cooper,2014-10,52074
anderson cooper,2014-11,26371
anderson cooper,2014-12,23329
anderson cooper,2015-01,35574
anderson cooper,2015-02,31347
anderson cooper,2015-03,32287
anderson cooper,2015-04,24035
anderson cooper,2015-05,27455
anderson cooper,2015-06,38147
anderson cooper,2015-07,36531
anderson cooper,2015-08,31714
anderson cooper,2015-09,31153
anderson cooper,2015-10,41822
anderson cooper,2015-11,36487
anderson cooper,2015-12,21626
anderson cooper,2016-01,31289
anderson cooper,2016-02,32516
anderson cooper,2016-03,32062
anderson cooper,2016-04,25812
anderson cooper,2016-05,19994
anderson cooper,2016-06,39678
anderson cooper,2016-07,24770
anderson cooper,2016-08,36760
anderson cooper,2016-09,52899
anderson cooper,2016-10,49911
anderson cooper,2016-11,46031
anderson cooper,2016-12,39211
anderson cooper,2017-01,66540
anderson cooper,2017-02,56806
anderson cooper,2017-03,82762
anderson cooper,2017-04,75113
anderson cooper,2017-05,83168
anderson cooper,2017-06,97969
anderson cooper,2017-07,81137
anderson cooper,2017-08,78228
anderson cooper,2017-09,81385
anderson cooper,2017-10,83819
anderson cooper,2017-11,66088
anderson cooper,2017-12,58479
anderson cooper,2018-01,89118
anderson cooper,2018-02,107446
anderson cooper,2018-03,101352
anderson cooper,2018-04,109042
anderson cooper,2018-05,84156
anderson cooper,2018-06,73980
anderson cooper,2018-07,83484
anderson cooper,2018-08,63804
anderson cooper,2018-09,67593
anderson cooper,2018-10,97943
anderson cooper,2018-11,47031
anderson cooper,2018-12,40830
anderson cooper,2019-01,93777
anderson cooper,2019-02,72699
anderson cooper,2019-03,114299
anderson cooper,2019-04,91462
anderson cooper,2019-05,74418
anderson cooper,2019-06,40012
anderson cooper,2019-07,69692
anderson cooper,2019-08,78929
anderson cooper,2019-09,69550
anderson cooper,2019-10,81589
anderson cooper,2019-11,48672
anderson cooper,2019-12,47457
anderson cooper,2020-01,86750
anderson cooper,2020-02,46834
anderson cooper,2020-03,96907
anderson cooper,2020-04,189771
anderson cooper,2020-05,116042
anderson cooper,2020-06,74360
anderson cooper,2020-07,64130
andrea mitchell,2010-01,12911
andrea mitchell,2010-02,12198
andrea mitchell,2010-03,11344
andrea mitchell,2010-04,13953
andrea mitchell,2010-05,4817
andrea mitchell,2010-06,6860
andrea mitchell,2010-07,10278
andrea mitchell,2010-08,12672
andrea mitchell,2010-09,7858
andrea mitchell,2010-10,13570
andrea mitchell,2010-11,10595
andrea mitchell,2010-12,9941
andrea mitchell,2011-01,12297
andrea mitchell,2011-02,12340
andrea mitchell,2011-03,15329
andrea mitchell,2011-04,11313
andrea mitchell,2011-05,12837
andrea mitchell,2011-06,11962
andrea mitchell,2011-07,14028
andrea mitchell,2011-08,17420
andrea mitchell,2011-09,9597
andrea mitchell,2011-10,13177
andrea mitchell,2011-11,10294
andrea mitchell,2011-12,9646
andrea mitchell,2012-01,16069
andrea mitchell,2012-02,12944
andrea mitchell,2012-03,15133
andrea mitchell,2012-04,13833
andrea mitchell,2012-05,14654
andrea mitchell,2012-06,13582
andrea mitchell,2012-07,9629
andrea mitchell,2012-08,11601
andrea mitchell,2012-09,15459
andrea mitchell,2012-10,14265
andrea mitchell,2012-11,18387
andrea mitchell,2012-12,12525
andrea mitchell,2013-01,17917
andrea mitchell,2013-02,13293
andrea mitchell,2013-03,8518
andrea mitchell,2013-04,12468
andrea mitchell,2013-05,9143
andrea mitchell,2013-06,13797
andrea mitchell,2013-07,8994
andrea mitchell,2013-08,11127
andrea mitchell,2013-09,13323
andrea mitchell,2013-10,12267
andrea mitchell,2013-11,6861
andrea mitchell,2013-12,9042
andrea mitchell,2014-01,11240
andrea mitchell,2014-02,8497
andrea mitchell,2014-03,11919
andrea mitchell,2014-04,11193
andrea mitchell,2014-05,9265
andrea mitchell,2014-06,9258
andrea mitchell,2014-07,15714
andrea mitchell,2014-08,14326
andrea mitchell,2014-09,15902
andrea mitchell,2014-10,10322
andrea mitchell,2014-11,9826
andrea mitchell,2014-12,11002
andrea mitchell,2015-01,10901
